Model_name,Year_model,Manufacturer,Car_name,Type,Condition,Distance,Color,Body_type,Fuel_type,Engine_cc,Price
كيا سبورتاج 2024,2024,كيا,سبورتاج,أوتوماتيك,مستعملة,19600,Gray,SUV,Gas,1600.0,1925000
مرسيدس GLC 200 2020,2020,مرسيدس,GLC 200,أوتوماتيك,مستعملة,56000,White,Coupe,Hybrid,2000.0,3250000
أودي Q3 2025,2025,أودي,Q3,أوتوماتيك,مستعملة,6000,Black,Hatchback,Gas,1400.0,2650000
رينو كليو 2005,2005,رينو,كليو,أوتوماتيك,مستعملة,186000,Silver,Sedan,Gas,1600.0,190000
بيجو 2008 2020,2008,بيجو,2020,أوتوماتيك,مستعملة,52757,White,Hatchback,Gas,1600.0,950000
شانجان UNI-V 2026,2026,شانجان,UNI-V,أوتوماتيك,جديدة,0,White,Sedan,Gas,1500.0,1240000
مرسيدس C200 2022,2022,مرسيدس,C200,أوتوماتيك,مستعملة,9500,Black,Sedan,Hybrid,1500.0,3150000
إم جي ZS 2026,2026,إم جي,ZS,أوتوماتيك,جديدة,0,Silver,SUV,Gas,1500.0,1090000
أوبل جراند لاند 2018,2018,أوبل,جراند لاند,أوتوماتيك,مستعملة,148000,Black,SUV,Gas,1600.0,850000
مرسيدس C200 2026,2026,مرسيدس,C200,أوتوماتيك,جديدة,0,Black,Sedan,Gas,1500.0,4100000
بي ام دبليو 218i 2021,2021,بي ام دبليو,218i,أوتوماتيك,مستعملة,85000,Blue,Sedan,Gas,1500.0,1550000
نيسان سنترا 2019,2019,نيسان,سنترا,أوتوماتيك,مستعملة,116000,Black,Sedan,Gas,1600.0,620000
كيا سبورتاج 2023,2023,كيا,سبورتاج,أوتوماتيك,مستعملة,25000,Gray,SUV,Gas,1600.0,1900000
شانجان CS55 بلس 2026,2026,شانجان,CS55 بلس,أوتوماتيك,جديدة,0,Silver,SUV,Gas,1500.0,1075000
بي ام دبليو M4 2025,2025,بي ام دبليو,M4,أوتوماتيك,جديدة,0,Gray,Coupe,Gas,3000.0,12000000
فيات تيبو 2022,2022,فيات,تيبو,أوتوماتيك,مستعملة,135000,Blue,Sedan,Gas,1600.0,750000
هيونداى النترا AD 2026,2026,هيونداى,النترا AD,أوتوماتيك,جديدة,0,Gray,Sedan,Gas,1600.0,935000
إم جي 7 2025,2025,إم جي,7,أوتوماتيك,مستعملة,20000,White,Sedan,Gas,1500.0,1420000
رينو ميجان 2015,2015,رينو,ميجان,أوتوماتيك,مستعملة,115,Silver,Hatchback,Gas,1600.0,520000
بورش كايين كوبيه 2022,2022,بورش,كايين كوبيه,أوتوماتيك,مستعملة,20000,Gray,SUV,Gas,4000.0,8700000
كيا كارينز 2017,2017,كيا,كارينز,أوتوماتيك,مستعملة,145000,Gray,Hatchback,Gas,1600.0,850000
شيري تيجو 8 2022,2022,شيري,تيجو 8,أوتوماتيك,مستعملة,90500,Blue,Hatchback,Gas,1500.0,870000
ميتسوبيشي ميراج 2025,2025,ميتسوبيشي,ميراج,أوتوماتيك,جديدة,0,Blue,Hatchback,Gas,1200.0,755000
هيونداى النترا AD 2026,2026,هيونداى,النترا AD,أوتوماتيك,جديدة,0,Gray,Sedan,Gas,1600.0,1015000
أوبل جراند لاند 2019,2019,أوبل,جراند لاند,أوتوماتيك,مستعملة,130000,White,SUV,Gas,1600.0,1000000
بي ام دبليو 316i 2013,2013,بي ام دبليو,316i,أوتوماتيك,مستعملة,255000,Black,Sedan,Gas,1600.0,920000
مرسيدس CLS 350 2019,2019,مرسيدس,CLS 350,أوتوماتيك,مستعملة,85000,Gray,Sedan,Gas,2000.0,3300000
بي ام دبليو 520i 2026,2026,بي ام دبليو,520i,أوتوماتيك,مستعملة,3000,Black,Sedan,Gas,1600.0,4650000
مرسيدس C200 2019,2019,مرسيدس,C200,أوتوماتيك,مستعملة,60000,White,Sedan,Gas,1500.0,2350000
