Model_name,Price,Manufacturer,Condition,Type,Distance,Details_URL
كيا سبورتاج 2024,"1,925,000 ج.م.",كيا,مستعملة,أوتوماتيك,"19,600 كم",contactcars.com/ar/used-cars/kia-sportage/edfd046bada3
مرسيدس GLC 200 2020,"3,250,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"56,000 كم",contactcars.com/ar/used-cars/mercedes-glc_200/7eb4e4c52834
أودي Q3 2025,"2,650,000 ج.م.",أودي,مستعملة,أوتوماتيك,"6,000 كم",contactcars.com/ar/used-cars/audi-q3/163c428395f5
هيونداى النترا CN7 2024,"1,275,000 ج.م.",هيونداى,مستعملة,أوتوماتيك,"7,000 كم",contactcars.com/ar/used-cars/hyundai-elantra_cn7/7d79ec79efb4
رينو كليو 2005,"190,000 ج.م.",رينو,مستعملة,أوتوماتيك,"186,000 كم",contactcars.com/ar/used-cars/renault-clio/ac4358d4004f
بيجو 2008 2020,"950,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"52,757 كم",contactcars.com/ar/used-cars/peugeot-2008/4235a605f806
شانجان UNI-V 2026,"1,240,000 ج.م.",شانجان,جديدة,أوتوماتيك,,contactcars.com/ar/new-cars/changan-uni_v/for-sale/b5854aa0add6
مرسيدس C200 2022,"3,150,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"9,500 كم",contactcars.com/ar/used-cars/mercedes-c200/9ba360b747a6
إم جي ZS 2026,"1,090,000 ج.م.",إم جي,جديدة,أوتوماتيك,,contactcars.com/ar/new-cars/mg-zs/for-sale/8ec6f10ca3c2
أوبل جراند لاند 2018,"850,000 ج.م.",أوبل,مستعملة,أوتوماتيك,"148,000 كم",contactcars.com/ar/used-cars/opel-grand_land/50f6c3a3b72d
مرسيدس C200 2026,"4,100,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,contactcars.com/ar/new-cars/mercedes-c200/for-sale/b19b8d19e2a5
بي ام دبليو 218i 2021,"1,550,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"85,000 كم",contactcars.com/ar/used-cars/bmw-218i/8e47e37c2247
نيسان سنترا 2019,"620,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"116,000 كم",contactcars.com/ar/used-cars/nissan-sentra/4019dd906e7b
كيا سبورتاج 2023,"1,900,000 ج.م.",كيا,مستعملة,أوتوماتيك,"25,000 كم",contactcars.com/ar/used-cars/kia-sportage/2d9c0934786f
شانجان CS55 بلس 2026,"1,075,000 ج.م.",شانجان,جديدة,أوتوماتيك,,contactcars.com/ar/new-cars/changan-cs55_plus/for-sale/9d12403c0b81
