URL,Color,Body_type,Fuel_type,Engine_cc
contactcars.com/ar/used-cars/kia-sportage/edfd046bada3,Gray,SUV,Gas,1600
contactcars.com/ar/used-cars/mercedes-glc_200/7eb4e4c52834,White,Coupe,Hybrid,2000
contactcars.com/ar/used-cars/audi-q3/163c428395f5,Black,Hatchback,Gas,1400
contactcars.com/ar/used-cars/hyundai-elantra_cn7/7d79ec79efb4,,,,
contactcars.com/ar/used-cars/renault-clio/ac4358d4004f,Silver,Sedan,Gas,1600
contactcars.com/ar/used-cars/peugeot-2008/4235a605f806,White,Hatchback,Gas,1600
contactcars.com/ar/new-cars/changan-uni_v/for-sale/b5854aa0add6,White,Sedan,Gas,1500
contactcars.com/ar/used-cars/mercedes-c200/9ba360b747a6,Black,Sedan,Hybrid,1500
contactcars.com/ar/new-cars/mg-zs/for-sale/8ec6f10ca3c2,Silver,SUV,Gas,1500
contactcars.com/ar/used-cars/opel-grand_land/50f6c3a3b72d,Black,SUV,Gas,1600
contactcars.com/ar/new-cars/mercedes-c200/for-sale/b19b8d19e2a5,Black,Sedan,Gas,1500
contactcars.com/ar/used-cars/bmw-218i/8e47e37c2247,Blue,Sedan,Gas,1500
contactcars.com/ar/used-cars/nissan-sentra/4019dd906e7b,Black,Sedan,Gas,1600
contactcars.com/ar/used-cars/kia-sportage/2d9c0934786f,Gray,SUV,Gas,1600
contactcars.com/ar/new-cars/changan-cs55_plus/for-sale/9d12403c0b81,Silver,SUV,Gas,1500
contactcars.com/ar/new-cars/bmw-m4/for-sale/76dd7823956a,Gray,Coupe,Gas,3000
contactcars.com/ar/used-cars/fiat-tipo/f30d24fbe213,Blue,Sedan,Gas,1600
contactcars.com/ar/new-cars/hyundai-elantra_ad/for-sale/5968f4b9ac82,Gray,Sedan,Gas,1600
contactcars.com/ar/used-cars/mg-7/bb4b5773cb86,White,Sedan,Gas,1500
contactcars.com/ar/used-cars/renault-megane/8eef5425631f,Silver,Hatchback,Gas,1600
contactcars.com/ar/used-cars/porsche-cayenne_coupe/73d7d88457f1,Gray,SUV,Gas,4000
contactcars.com/ar/used-cars/kia-carens/7f816babdd6d,Gray,Hatchback,Gas,1600
contactcars.com/ar/used-cars/chery-tiggo_8/72ad55ee3ec4,Blue,Hatchback,Gas,1500
contactcars.com/ar/new-cars/mitsubishi-mirage/for-sale/f8834e08186d,Blue,Hatchback,Gas,1200
contactcars.com/ar/new-cars/hyundai-elantra_ad/for-sale/31161f82b13b,Gray,Sedan,Gas,1600
contactcars.com/ar/used-cars/opel-grand_land/5d78bff81967,White,SUV,Gas,1600
contactcars.com/ar/used-cars/bmw-316i/41f7f90db4fd,Black,Sedan,Gas,1600
contactcars.com/ar/used-cars/mercedes-cls_350/c9fef535b3b3,Gray,Sedan,Gas,2000
contactcars.com/ar/used-cars/bmw-520i/b289123a3f54,Black,Sedan,Gas,1600
contactcars.com/ar/used-cars/mercedes-c200/9384dae60698,White,Sedan,Gas,1500
contactcars.com/ar/new-cars/mercedes-e300/for-sale/1c2c9a487e35,Black,Sedan,Gas,2000
contactcars.com/ar/used-cars/mitsubishi-eclipse/9184206c85ef,Black,SUV,Gas,1500
contactcars.com/ar/used-cars/peugeot-301/c153b8e13d44,Silver,Sedan,Gas,1600
contactcars.com/ar/used-cars/audi-a6/4b6dbc8fd53a,Black,Sedan,Gas,2000
contactcars.com/ar/new-cars/porsche-macan/for-sale/bd774b07ca0c,Black,SUV,Gas,2000
contactcars.com/ar/used-cars/fiat-tipo/cf1020984ebb,Gray,Sedan,Diesel,1600
contactcars.com/ar/used-cars/byd-f3/62986d39d7f1,White,Sedan,Gas,1600
contactcars.com/ar/used-cars/mercedes-cla_200/ea7673f04c1a,Gray,Sedan,Gas,1300
contactcars.com/ar/used-cars/peugeot-5008/faeb11a41973,Gray,SUV,Gas,1600
contactcars.com/ar/used-cars/nissan-qashqai/ca45318be89d,Gray,,Gas,1200
contactcars.com/ar/used-cars/porsche-cayenne_s/7bfb9d701d63,Dark Grey,SUV,Gas,2900
contactcars.com/ar/used-cars/bmw-318i/bcb3dfd91762,Gray,Sedan,Gas,1600
contactcars.com/ar/used-cars/bmw-x6/0a8fa606ecc6,Black,SUV,Gas,4400
contactcars.com/ar/used-cars/volkswagen-golf/2db3b0f615da,Red,Hatchback,Gas,2000
contactcars.com/ar/used-cars/mercedes-c180/284b78a08c6f,Black,Sedan,Gas,1600
contactcars.com/ar/used-cars/chevrolet-captiva/c2b58b0f94c6,Gray,Hatchback,Gas,3200
contactcars.com/ar/new-cars/mercedes-glc_200/for-sale/24cfdeb8cd43,Black,SUV,Gas,2000
contactcars.com/ar/new-cars/mercedes-c180/for-sale/5fac62fea4ef,White,Sedan,Gas,1500
contactcars.com/ar/used-cars/bmw-320i/08455909ca06,Brown,Sedan,Gas,2000
contactcars.com/ar/used-cars/bmw-118i/96dd1dba9fc6,Blue,Hatchback,Gas,1500
contactcars.com/ar/used-cars/kia-sportage/edfd046bada3,Gray,SUV,Gas,1600
contactcars.com/ar/used-cars/seat-toledo/2fe899caa20c,Maroon,Sedan,Diesel,1600
contactcars.com/ar/used-cars/toyota-corolla/988b6db947ce,Black,Sedan,Gas,1600
contactcars.com/ar/used-cars/chery-arrizo_5/854635d6efdf,White,Sedan,Hybrid,1500
contactcars.com/ar/used-cars/chevrolet-malibu/3b19ca049d1d,Blue,Sedan,Gas,1500
contactcars.com/ar/new-cars/skoda-kodiaq/for-sale/2ffea7d4f113,Gray,SUV,Gas,1400
contactcars.com/ar/new-cars/chevrolet-optra/for-sale/8bb61b8032d6,Gray,Sedan,Gas,1500
contactcars.com/ar/used-cars/mercedes-b150/32c8801f1894,Gray,Hatchback,Gas,1500
contactcars.com/ar/used-cars/porsche-cayenne_s/9e26cccbf922,Silver,SUV,Gas,4800
contactcars.com/ar/used-cars/volkswagen-tiguan/d32e57a6c488,Gray,SUV,Gas,1400
contactcars.com/ar/used-cars/mercedes-c180/5147e43da728,White,Cabriolet,Gas,1600
contactcars.com/ar/used-cars/bmw-318i/286bb1a8d093,Black,Sedan,Gas,1500
contactcars.com/ar/used-cars/peugeot-408/608b92d82052,Gray,SUV,Gas,1600
contactcars.com/ar/used-cars/chevrolet-optra/7f2d2751c5d5,Black,Sedan,Gas,1500
contactcars.com/ar/used-cars/mercedes-glc_200/7eb4e4c52834,White,Coupe,Hybrid,2000
contactcars.com/ar/used-cars/toyota-yaris/f3bfc161a43f,Red,Sedan,Gas,1300
contactcars.com/ar/used-cars/bmw-730li/c6fc6969a680,,,,
contactcars.com/ar/new-cars/volkswagen-passat/for-sale/4c7c8ff8cf53,Navy Blue,Sedan,Gas,1400
contactcars.com/ar/used-cars/nissan-sentra/5f1f7f429bd3,Bronze,Sedan,Gas,1600
contactcars.com/ar/new-cars/baic-u5_plus/for-sale/46ee7b6b0bde,White,Sedan,Gas,1500
contactcars.com/ar/used-cars/audi-a3/08b9a3eef5f0,Gray,Sedan,Gas,1400
contactcars.com/ar/new-cars/toyota-corolla/for-sale/eddbe3bcd4ed,Silver,Sedan,Gas,1600
contactcars.com/ar/used-cars/skoda-kodiaq/e0ed32b3c908,Silver,SUV,Gas,2000
contactcars.com/ar/new-cars/fiat-500x/for-sale/9e27d2f9e19c,Blue,Hatchback,Gas,1400
contactcars.com/ar/used-cars/kia-sportage/8bcdcd176195,Maroon,SUV,Gas,1600
contactcars.com/ar/used-cars/bmw-320i/36063b3f88a7,White,Sedan,Gas,1600
contactcars.com/ar/used-cars/audi-a4/ed236b602214,Gray,Sedan,Gas,2000
contactcars.com/ar/new-cars/kaiyi-x7/for-sale/fb920906bd03,Black,SUV,Gas,1600
contactcars.com/ar/new-cars/chevrolet-optra/for-sale/f0ff8e6d68d1,Silver,Sedan,Gas,1500
contactcars.com/ar/new-cars/soueast-s_09/for-sale/a041cd7448aa,Gray,SUV,Gas,1600
contactcars.com/ar/used-cars/audi-q3/163c428395f5,Black,Hatchback,Gas,1400
contactcars.com/ar/used-cars/jetour-dashing/c81496af1371,Gray,SUV,Gas,1500
contactcars.com/ar/used-cars/range_rover-velar/8478a34ea562,Gray,SUV,Gas,2000
contactcars.com/ar/used-cars/mercedes-gla_200/fcca653295f5,Silver,SUV,Gas,1600
contactcars.com/ar/new-cars/mitsubishi-xpander/for-sale/48c820329e49,Gray,SUV,Gas,1500
contactcars.com/ar/used-cars/bmw-x6/29d91297cbe0,Navy Blue,SUV,Gas,4400
contactcars.com/ar/used-cars/hummer-hummer_ev_suv/2de44c5b6967,Black,SUV,Electric,
contactcars.com/ar/used-cars/skoda-octavia_a8/3b7f630b0ac8,Gray,Sedan,Gas,1400
contactcars.com/ar/used-cars/bmw-316i/9c148ab58f86,Silver,Sedan,Gas,1600
contactcars.com/ar/used-cars/citroen-c3/829cbf91c64e,Silver,Hatchback,Gas,1600
contactcars.com/ar/used-cars/mg-hs/4c80fcdf4f21,White,SUV,Gas,1500
contactcars.com/ar/used-cars/kia-cerato/903217134e78,Navy Blue,Sedan,Gas,1600
contactcars.com/ar/used-cars/mercedes-c180/d4378f7d3795,Silver,Sedan,Gas,1800
contactcars.com/ar/used-cars/nissan-qashqai/6a1852885067,Black,SUV,Gas,1200
contactcars.com/ar/used-cars/mazda-3/d99442c3ceeb,Gray,Sedan,Gas,1600
contactcars.com/ar/used-cars/jac-s4/4621337fce72,White,SUV,Gas,1500
contactcars.com/ar/used-cars/jeep-wrangler/7d760d4b74ca,Gray,SUV,Gas,3600
contactcars.com/ar/new-cars/mg-rx5/for-sale/2346afd6a00f,Black,SUV,Gas,1500
contactcars.com/ar/used-cars/fiat-500x/49379396012f,Red,SUV,Gas,1400
contactcars.com/ar/used-cars/jaguar-f_pace/7b2e4d23f00a,White,SUV,Gas,2000
contactcars.com/ar/used-cars/hyundai-elantra_cn7/7d79ec79efb4,,,,
contactcars.com/ar/used-cars/renault-clio/ac4358d4004f,Silver,Sedan,Gas,1600
contactcars.com/ar/used-cars/mercedes-c200/5ab0006c21e6,Blue,Sedan,Hybrid,1600
contactcars.com/ar/used-cars/opel-astra/df3263542333,Black,Sedan,Gas,1400
contactcars.com/ar/used-cars/nissan-sunny/d5e41cf2f285,Bronze,Sedan,Gas,1600
contactcars.com/ar/used-cars/renault-megane/5fd81d5c5cd4,Silver,Coupe,Gas,1600
contactcars.com/ar/used-cars/audi-q3/a7b9970b8a2e,Blue,SUV,Gas,1400
contactcars.com/ar/used-cars/bmw-x3/045582d6829d,Silver,SUV,Gas,2000
contactcars.com/ar/used-cars/volkswagen-tiguan/dc6d49408474,Dark Grey,SUV,Gas,1400
contactcars.com/ar/used-cars/porsche-cayenne_coupe/f82745585a26,Gray,Coupe,Gas,4000
contactcars.com/ar/used-cars/renault-kadjar/d7a3889914ed,Green,SUV,Gas,1200
contactcars.com/ar/used-cars/citroen-c4_grand_picasso/cc19583f1b53,Gray,SUV,Gas,1600
contactcars.com/ar/used-cars/toyota-corolla/5124e1630b42,Gray,Sedan,Gas,1600
contactcars.com/ar/new-cars/mg-5/for-sale/5bc095ec9d10,White,Sedan,Gas,1500
contactcars.com/ar/new-cars/kia-sportage/for-sale/f9e4fcea6f0a,White,SUV,Gas,1600
contactcars.com/ar/used-cars/mg-7/9dc37990784b,Green,Sedan,Gas,1600
contactcars.com/ar/new-cars/chevrolet-optra/for-sale/77f88e85ebaa,Silver,Sedan,Gas,1500
contactcars.com/ar/new-cars/chevrolet-optra/for-sale/d31680868984,Silver,Sedan,Gas,1500
contactcars.com/ar/used-cars/kia-sorento/128e27a2161e,White,SUV,Hybrid,1600
contactcars.com/ar/new-cars/kaiyi-x3_pro/for-sale/e96c8b9041dc,Gray,SUV,Gas,1500
contactcars.com/ar/used-cars/chevrolet-cruze/ac5b15fc0ff9,Silver,Sedan,Gas,1500
contactcars.com/ar/new-cars/mg-hs/for-sale/5ddbdd0425de,Red,SUV,Hybrid,1500
contactcars.com/ar/used-cars/mazda-3/91c12b9023b7,Black,Sedan,Gas,1600
contactcars.com/ar/new-cars/mg-hs/for-sale/87999ca7550d,Red,SUV,Gas,1500
contactcars.com/ar/used-cars/renault-megane/0f0a06bfdb93,Black,Hatchback,Gas,1600
contactcars.com/ar/new-cars/mg-7/for-sale/f4d3f20f81e8,Green,Sedan,Gas,1500
contactcars.com/ar/used-cars/fiat-tipo/1c0f9ec667cb,Bronze,Sedan,Gas,1600
contactcars.com/ar/new-cars/kaiyi-x3/for-sale/6046f6b70eca,Gray,SUV,Gas,1500
contactcars.com/ar/used-cars/ford-kuga/921b59c342ce,Black,SUV,Gas,1600
contactcars.com/ar/used-cars/chrysler-voyager/c14922786097,Black,SUV,Gas,3800
contactcars.com/ar/used-cars/kia-rio/230570532740,Silver,Hatchback,Gas,1300
contactcars.com/ar/used-cars/peugeot-2008/4235a605f806,White,Hatchback,Gas,1600
contactcars.com/ar/used-cars/toyota-corolla/faadc6ed0742,Gray,Sedan,Gas,1600
contactcars.com/ar/used-cars/audi-a3/f0c7711fc377,Red,Sedan,Gas,1400
contactcars.com/ar/new-cars/chevrolet-optra/for-sale/0c1452397765,Gray,Sedan,Gas,1500
contactcars.com/ar/new-cars/mg-5/for-sale/47b0ee7df89f,Red,Sedan,Gas,1500
contactcars.com/ar/new-cars/audi-q7/for-sale/d21068909820,Silver,SUV,Gas,2000
contactcars.com/ar/new-cars/chery-tiggo_4_pro/for-sale/289a4aab5ddd,White,SUV,Gas,1500
contactcars.com/ar/used-cars/opel-corsa/97f076e4c38d,Black,Sedan,Gas,1600
contactcars.com/ar/used-cars/porsche-macan/2409ce296b61,Blue,SUV,Gas,2000
contactcars.com/ar/new-cars/bmw-235i/for-sale/ee98bd9f0a1e,White,Sedan,Gas,2000
contactcars.com/ar/used-cars/bmw-x5/725970b9f0b3,Black,SUV,Gas,4400
contactcars.com/ar/new-cars/chery-tiggo_4_pro/for-sale/a3bf978eeb48,Silver,SUV,Gas,1500
contactcars.com/ar/used-cars/mini-cabrio/5a19d07aa5a4,Turquoise,Cabriolet,Gas,1500
contactcars.com/ar/new-cars/bmw-x1/for-sale/ee624deaff38,Blue,SUV,Gas,1500
contactcars.com/ar/new-cars/mg-7/for-sale/6face6b8ab9b,Dark Grey,Sedan,Gas,1500
contactcars.com/ar/new-cars/mg-7/for-sale/6b4140930f6d,,,,
contactcars.com/ar/new-cars/skoda-superb/for-sale/ec477460a14a,Black,Sedan,Gas,1400
contactcars.com/ar/new-cars/skoda-superb/for-sale/402dd6f14521,,,,
contactcars.com/ar/used-cars/toyota-fortuner/9e5c2e58d59c,White,Hatchback,Gas,4000
contactcars.com/ar/used-cars/nissan-qashqai/e497d49cb7a0,Brown,SUV,Gas,1200
contactcars.com/ar/new-cars/kia-sorento/for-sale/b17945c961a0,Dark Grey,SUV,Gas,1600
contactcars.com/ar/used-cars/citroen-c_elysee/e8f6161d1939,Black,Sedan,Gas,1600
contactcars.com/ar/new-cars/baic-bj30/for-sale/671d455d8b24,Silver,SUV,Hybrid,1500
contactcars.com/ar/new-cars/kia-sorento/for-sale/fbc03a2a3ff0,,,,
contactcars.com/ar/new-cars/toyota-fortuner/for-sale/b9b9ecb4fc08,Black,SUV,Gas,4000
contactcars.com/ar/new-cars/soueast-s_05/for-sale/1de63fc5ac90,White,SUV,Gas,1500
contactcars.com/ar/new-cars/hyundai-avante/for-sale/22d1b47bd090,Black,Sedan,Gas,1600
contactcars.com/ar/new-cars/chery-arrizo_5_facelift/for-sale/f4531b9b3351,Gray,Sedan,Gas,1500
contactcars.com/ar/new-cars/kia-sorento/for-sale/91a58ecd0e47,White,SUV,Hybrid,1600
contactcars.com/ar/used-cars/peugeot-508/af16613e5dcb,Navy Blue,Sedan,Gas,1600
contactcars.com/ar/new-cars/ssangyong-torres/for-sale/d291e3b7a150,Dark Grey,SUV,Gas,1500
contactcars.com/ar/new-cars/ssangyong-torres/for-sale/322b94c4a1a4,,,,
contactcars.com/ar/new-cars/cupra-terramar/for-sale/8d97a57b9936,Dark Grey,SUV,Gas,1400
contactcars.com/ar/new-cars/volkswagen-tiguan/for-sale/023222b315bd,Silver,SUV,Gas,1400
contactcars.com/ar/new-cars/mg-5/for-sale/81bed3e3fd9d,White,Sedan,Gas,1500
contactcars.com/ar/new-cars/skoda-kodiaq/for-sale/72c1fce02b06,Navy Blue,SUV,Gas,1400
contactcars.com/ar/used-cars/volkswagen-jetta/542329affead,Navy Blue,Sedan,Gas,1400
contactcars.com/ar/new-cars/mg-5/for-sale/f8867b0c089c,,,,
contactcars.com/ar/used-cars/mercedes-cla_200/30301b51f087,Black,Coupe,Gas,1400
contactcars.com/ar/used-cars/bmw-x2/de59a2234eb8,Blue,SUV,Gas,1500
contactcars.com/ar/used-cars/peugeot-5008/ce3521a03acd,Gray,SUV,Gas,1600
contactcars.com/ar/used-cars/bmw-218i/f087e51ec619,Gray,Cabriolet,Gas,1500
contactcars.com/ar/used-cars/nissan-sunny/929fd2a4c889,Silver,Sedan,Gas,1500
contactcars.com/ar/used-cars/mercedes-c200/a2533e4abf21,White,Sedan,Gas,1500
contactcars.com/ar/used-cars/volkswagen-golf_7/584f915730eb,Navy Blue,Hatchback,Gas,1500
contactcars.com/ar/new-cars/byd-seagull/for-sale/61b4161dde2f,Baby Blue,Hatchback,Electric,
contactcars.com/ar/new-cars/byd-yuan_up/for-sale/5ec43dd382e3,Gray,SUV,Electric,
contactcars.com/ar/used-cars/volvo-xc_90/959fe219a3f4,Black,SUV,Gas,2000
contactcars.com/ar/used-cars/cupra-formentor/c8a2caad3e9e,Black,SUV,Gas,2000
contactcars.com/ar/used-cars/bmw-520i/0d6386baac81,Black,Sedan,Gas,2000
contactcars.com/ar/new-cars/mercedes-e200/for-sale/0e7cff38db4e,White,Sedan,Gas,2000
contactcars.com/ar/new-cars/byd-sealion/for-sale/b24ce5d56bd6,Gray,SUV,Electric,
contactcars.com/ar/new-cars/bmw-i3/for-sale/967e602e93b3,Black,Sedan,Electric,
contactcars.com/ar/used-cars/nissan-qashqai/cdd1adefdbee,White,SUV,Gas,1500
contactcars.com/ar/used-cars/range_rover-sport/300639eead83,White,SUV,Gas,2000
contactcars.com/ar/used-cars/nissan-qashqai/df09431937f9,Silver,SUV,Gas,1200
contactcars.com/ar/new-cars/mercedes-gla_200/for-sale/3336066d0f93,Black,Hatchback,Gas,1300
contactcars.com/ar/used-cars/hyundai-accent/2a0e3b9f6326,Maroon,Sedan,Gas,1500
contactcars.com/ar/new-cars/mercedes-gla_200/for-sale/d515d498cb69,White,Hatchback,Gas,1300
contactcars.com/ar/new-cars/mercedes-e200/for-sale/ac63680466ef,White,Sedan,Gas,2000
contactcars.com/ar/new-cars/deepal-s07/for-sale/afb422ce9d92,,,,
contactcars.com/ar/new-cars/deepal-s07/for-sale/d62c802be0ec,Gray,SUV,Electric,
contactcars.com/ar/used-cars/bmw-x2/f5cd81cc3be4,Red,SUV,Gas,1500
contactcars.com/ar/used-cars/citroen-c3/83f7563b9e1d,Silver,Hatchback,Gas,1400
contactcars.com/ar/used-cars/mercedes-c180/d8e6d736db79,Gray,Sedan,Gas,1500
contactcars.com/ar/used-cars/land_rover-defender/aac4a9e82ed0,White,SUV,Gas,3000
contactcars.com/ar/used-cars/mercedes-eqe_350/fbce7ec38a67,Black,SUV,Electric,
contactcars.com/ar/new-cars/deepal-s05/for-sale/512239385480,White,SUV,Electric,
contactcars.com/ar/used-cars/mercedes-e_180/612a9e0a96bd,Black,Sedan,Gas,1800
contactcars.com/ar/new-cars/deepal-s05/for-sale/b3d0e1ca7af3,White,SUV,Electric,
contactcars.com/ar/new-cars/toyota-fortuner/for-sale/101337673e15,Black,SUV,Gas,4000
contactcars.com/ar/new-cars/chery-tiggo_8_pro_max/for-sale/44d128ef9556,White,SUV,Gas,1600
contactcars.com/ar/used-cars/renault-megane/1db514e0707c,Brown,Sedan,Gas,1600
contactcars.com/ar/new-cars/skoda-kodiaq/for-sale/581545f7fe4d,Gray,SUV,Gas,1500
contactcars.com/ar/used-cars/mercedes-eqs_suv/255a3f4fd600,Gray,SUV,Electric,
