Model_name,Price,Manufacturer,Condition,Type,Distance,Color,Body_type,Fuel_type,Engine_cc
كيا سبورتاج 2024,"1,925,000 ج.م.",كيا,مستعملة,أوتوماتيك,"19,600 كم",Gray,SUV,Gas,1600.0
مرسيدس GLC 200 2020,"3,250,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"56,000 كم",White,Coupe,Hybrid,2000.0
أودي Q3 2025,"2,650,000 ج.م.",أودي,مستعملة,أوتوماتيك,"6,000 كم",Black,Hatchback,Gas,1400.0
هيونداى النترا CN7 2024,"1,275,000 ج.م.",هيونداى,مستعملة,أوتوماتيك,"7,000 كم",,,,
رينو كليو 2005,"190,000 ج.م.",رينو,مستعملة,أوتوماتيك,"186,000 كم",Silver,Sedan,Gas,1600.0
بيجو 2008 2020,"950,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"52,757 كم",White,Hatchback,Gas,1600.0
شانجان UNI-V 2026,"1,240,000 ج.م.",شانجان,جديدة,أوتوماتيك,,White,Sedan,Gas,1500.0
مرسيدس C200 2022,"3,150,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"9,500 كم",Black,Sedan,Hybrid,1500.0
إم جي ZS 2026,"1,090,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Silver,SUV,Gas,1500.0
أوبل جراند لاند 2018,"850,000 ج.م.",أوبل,مستعملة,أوتوماتيك,"148,000 كم",Black,SUV,Gas,1600.0
مرسيدس C200 2026,"4,100,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Black,Sedan,Gas,1500.0
بي ام دبليو 218i 2021,"1,550,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"85,000 كم",Blue,Sedan,Gas,1500.0
نيسان سنترا 2019,"620,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"116,000 كم",Black,Sedan,Gas,1600.0
كيا سبورتاج 2023,"1,900,000 ج.م.",كيا,مستعملة,أوتوماتيك,"25,000 كم",Gray,SUV,Gas,1600.0
شانجان CS55 بلس 2026,"1,075,000 ج.م.",شانجان,جديدة,أوتوماتيك,,Silver,SUV,Gas,1500.0
بي ام دبليو M4 2025,"12,000,000 ج.م.",بي ام دبليو,جديدة,أوتوماتيك,,Gray,Coupe,Gas,3000.0
فيات تيبو 2022,"750,000 ج.م.",فيات,مستعملة,أوتوماتيك,"135,000 كم",Blue,Sedan,Gas,1600.0
هيونداى النترا AD 2026,"935,000 ج.م.",هيونداى,جديدة,أوتوماتيك,,Gray,Sedan,Gas,1600.0
إم جي 7 2025,"1,420,000 ج.م.",إم جي,مستعملة,أوتوماتيك,"20,000 كم",White,Sedan,Gas,1500.0
رينو ميجان 2015,"520,000 ج.م.",رينو,مستعملة,أوتوماتيك,115 كم,Silver,Hatchback,Gas,1600.0
بورش كايين كوبيه 2022,"8,700,000 ج.م.",بورش,مستعملة,أوتوماتيك,"20,000 كم",Gray,SUV,Gas,4000.0
كيا كارينز 2017,"850,000 ج.م.",كيا,مستعملة,أوتوماتيك,"145,000 كم",Gray,Hatchback,Gas,1600.0
شيري تيجو 8 2022,"870,000 ج.م.",شيري,مستعملة,أوتوماتيك,"90,500 كم",Blue,Hatchback,Gas,1500.0
